reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
185,448.0,0.0,448,448,2.4216216216216218,32,32,32,742.0,0.0,742,742,4.010810810810811,2.3873873873873874,7
186,448.0,0.0,448,448,2.4086021505376345,32,32,32,746.0,0.0,746,746,4.010752688172043,2.387352790578597,7
187,448.0,0.0,448,448,2.3957219251336896,32,32,32,750.0,0.0,750,750,4.010695187165775,2.387318563789152,7
188,448.0,0.0,448,448,2.382978723404255,32,32,32,754.0,0.0,754,754,4.01063829787234,2.3872847011144884,7
189,480.0,0.0,480,480,2.5396825396825395,32,32,32,758.0,0.0,758,758,4.01058201058201,2.387251196775006,7
190,480.0,0.0,480,480,2.526315789473684,32,32,32,762.0,0.0,762,762,4.010526315789473,2.387218045112782,7
191,448.0,0.0,448,448,2.345549738219895,32,32,32,766.0,0.0,766,766,4.010471204188482,2.387185240588382,7
192,480.0,0.0,480,480,2.5,32,32,32,770.0,0.0,770,770,4.010416666666667,2.387152777777778,7
193,448.0,0.0,448,448,2.321243523316062,32,32,32,774.0,0.0,774,774,4.010362694300518,2.387120651369356,7
194,448.0,0.0,448,448,2.3092783505154637,32,32,32,778.0,0.0,778,778,4.010309278350515,2.387088856161021,7
195,480.0,0.0,480,480,2.4615384615384617,32,32,32,782.0,0.0,782,782,4.01025641025641,2.387057387057387,7
196,480.0,0.0,480,480,2.4489795918367347,32,32,32,786.0,0.0,786,786,4.010204081632653,2.3870262390670556,7
197,480.0,0.0,480,480,2.436548223350254,32,32,32,790.0,0.0,790,790,4.01015228426396,2.386995407299976,7
198,480.0,0.0,480,480,2.4242424242424243,32,32,32,794.0,0.0,794,794,4.01010101010101,2.386964886964887,7
199,480.0,0.0,480,480,2.4120603015075375,32,32,32,798.0,0.0,798,798,4.010050251256281,2.386934673366834,7
200,448.0,0.0,448,448,2.24,32,32,32,802.0,0.0,802,802,4.01,2.386904761904762,7
201,480.0,0.0,480,480,2.388059701492537,32,32,32,806.0,0.0,806,806,4.009950248756219,2.386875148069178,7
202,480.0,0.0,480,480,2.376237623762376,32,32,32,810.0,0.0,810,810,4.00990099009901,2.386845827439887,7
203,480.0,0.0,480,480,2.3645320197044337,32,32,32,814.0,0.0,814,814,4.009852216748769,2.386816795683791,7
204,512.0,0.0,512,512,2.5098039215686274,32,32,32,818.0,0.0,818,818,4.009803921568627,2.3867880485527544,7
205,480.0,0.0,480,480,2.341463414634146,32,32,32,822.0,0.0,822,822,4.009756097560976,2.3867595818815333,7
206,512.0,0.0,512,512,2.4854368932038833,32,32,32,826.0,0.0,826,826,4.009708737864078,2.386731391585761,7
207,512.0,0.0,512,512,2.473429951690821,32,32,32,830.0,0.0,830,830,4.009661835748792,2.3867034736599955,7
208,512.0,0.0,512,512,2.4615384615384617,32,32,32,834.0,0.0,834,834,4.009615384615385,2.3866758241758244,7
209,512.0,0.0,512,512,2.449760765550239,32,32,32,838.0,0.0,838,838,4.009569377990431,2.3866484392800182,7
210,512.0,0.0,512,512,2.4380952380952383,32,32,32,842.0,0.0,842,842,4.0095238095238095,2.386621315192744,7
211,512.0,0.0,512,512,2.4265402843601898,32,32,32,846.0,0.0,846,846,4.009478672985782,2.386594448205823,7
212,512.0,0.0,512,512,2.4150943396226414,32,32,32,850.0,0.0,850,850,4.009433962264151,2.386567834681042,7
213,512.0,0.0,512,512,2.403755868544601,32,32,32,854.0,0.0,854,854,4.009389671361502,2.386541471048513,7
214,512.0,0.0,512,512,2.392523364485981,32,32,32,858.0,0.0,858,858,4.009345794392523,2.3865153538050734,7
215,544.0,0.0,544,544,2.530232558139535,32,32,32,862.0,0.0,862,862,4.0093023255813955,2.3864894795127354,7
216,512.0,0.0,512,512,2.3703703703703702,32,32,32,866.0,0.0,866,866,4.0092592592592595,2.3864638447971784,7
217,512.0,0.0,512,512,2.359447004608295,32,32,32,870.0,0.0,870,870,4.009216589861751,2.3864384463462804,7
218,512.0,0.0,512,512,2.3486238532110093,32,32,32,874.0,0.0,874,874,4.009174311926605,2.3864132809086938,7
219,512.0,0.0,512,512,2.3378995433789953,32,32,32,878.0,0.0,878,878,4.0091324200913245,2.3863883452924552,7
